,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Advanced Composition,Non-Western Cultures,Western/Comparative Cultures,US Minority Cultures,Historical & Philosophical Perspectives,Literature & the Arts,Life Sciences,Physical Sciences,Quantitative Reasoning 1,Quantitative Reasoning 2,Behavioral Sciences,Social Sciences
0,2019,Fall,2019-fa,AAS 100,Intro Asian American Studies,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
1,2019,Fall,2019-fa,AAS 105,Introduction to Arab American Studies,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
2,2019,Fall,2019-fa,AAS 120,Intro to Asian Am Pop Culture,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
3,2019,Fall,2019-fa,AAS 200,U.S. Race and Empire,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
4,2019,Fall,2019-fa,AAS 201,US Racial & Ethnic Politics,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
5,2019,Fall,2019-fa,AAS 211,Asian Americans and the Arts,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
6,2019,Fall,2019-fa,AAS 215,US Citizenship Comparatively,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
7,2019,Fall,2019-fa,AAS 224,Asian Am Historical Sociology,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
8,2019,Fall,2019-fa,AAS 246,Asian American Youth in Film,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
9,2019,Fall,2019-fa,AAS 258,Muslims in America,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
10,2019,Fall,2019-fa,AAS 260,Intro Asian American Theatre,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
11,2019,Fall,2019-fa,AAS 265,Politics of Hip Hop,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
12,2019,Fall,2019-fa,AAS 275,The Politics of Fashion,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
13,2019,Fall,2019-fa,AAS 281,Constructing Race in America,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
14,2019,Fall,2019-fa,AAS 283,Asian American History,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
15,2019,Fall,2019-fa,AAS 286,Asian American Literature,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
16,2019,Fall,2019-fa,AAS 287,Food and Asian Americans,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
17,2019,Fall,2019-fa,AAS 288,Global Islam and Feminisms,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
18,2019,Fall,2019-fa,AAS 297,Asian Families in America,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
19,2019,Fall,2019-fa,AAS 300,"Theories of Race, Gender, and Sexuality",ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
20,2019,Fall,2019-fa,AAS 310,Race and Cultural Diversity,ACP,US,,,,,1,0,0,1,0,0,0,0,0,0,0,0
21,2019,Fall,2019-fa,AAS 370,"Immigration, Law, and Rights",ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
22,2019,Fall,2019-fa,AAS 402,Asian American Education,ACP,US,,,,,1,0,0,1,0,0,0,0,0,0,0,0
23,2019,Fall,2019-fa,ABE 469,Industry-Linked Design Project,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
24,2019,Fall,2019-fa,ACE 100,Agr Cons and Resource Econ,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
25,2019,Fall,2019-fa,ACE 210,Environmental Economics,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
26,2019,Fall,2019-fa,ACE 251,The World Food Economy,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
27,2019,Fall,2019-fa,ACE 254,Economic Systems in Africa,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
28,2019,Fall,2019-fa,ACE 255,Economics of Food and Environmental Justice,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
29,2019,Fall,2019-fa,ACE 261,Applied Statistical Methods,,,,,QR1,,0,0,0,0,0,0,0,0,1,0,0,0
30,2019,Fall,2019-fa,ACES 102,Intro Sustainable Food Systems,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
31,2019,Fall,2019-fa,ACES 179,History of Ag in IL Since 1860,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
32,2019,Fall,2019-fa,ADV 476,Global Advertising,,WCC,,,,SS,0,0,1,0,0,0,0,0,0,0,0,1
